category,x,y,name,address
양식,37.2479399,127.0773456,soulP,영통동 1024-8
양식,37.24882,127.0778973,익스프레스 파스타 앤 피자,영통동 1018-13
양식,37.2495852,127.0781529,쏘니스 썬프란시스코 마켓,영통동 1013-8
양식,37.2494033,127.0781698,훌리스 다이너,영통동 1013-9
양식,37.2505475,127.0753716,BLEND,영통동 1008-15
양식,37.2468082,127.0768973,도스마스,서천동 7
양식,37.251797,127.078941,그로또,영통동 1030-2
한식,37.247954,127.0762724,수누리감자탕,영통동 1024-2
한식,37.2491309,127.079413,이모찌마,영통동 1019-17
한식,37.2516354,127.0792135,핏제리아도우,영통동 1030-4
한식,37.2506694,127.07575,장인족발,영통동 1008-13
한식,37.2479229,127.0772427,부대통령,영통동 1024-8
한식,37.2484668,127.0767395,꽃찬찜닭,영통동 1023-4
한식,37.2530818,127.0768128,복희족발,영통동 1037-6
한식,37.252686,127.0779686,대덕골,영통동 1036-10
한식,37.2514259,127.0759177,육회지존,영통동 1009-2
한식,37.2482929,127.0772083,국가대표,영통동 1022-1
한식,37.2498503,127.0799149,청진옥,영통동 1027-28
한식,37.2467707,127.0733652,방울엄마국밥,서천동 335-2
한식,37.2512338,127.0763348,예감쪽갈비,영통동 1009-2
중식,37.2503893,127.0762224,얜시부,영통동 1005-3
중식,37.2509186,127.0753423,라메이즈 마라탕,영통동 1008-10
중식,37.2494931,127.0741598,짬뽕타임,영통동 989-7
중식,37.2504425,127.0755364,칭따오양꼬치,영통동 1008-18
중식,37.2527445,127.0759625,탕화쿵푸,영통동 1011-6
중식,37.2510924,127.0749885,팔선생,영통동 1008-7
일식,37.2487574,127.0790157,미미카츠,영통동 1019-13
일식,37.2482967,127.0761075,키와마루아지,영통동 1023-1
일식,37.2484365,127.0759689,겐코,영통동 1023-1
일식,37.2493807,127.0796557,쿠지라,영통동 1019-20
일식,37.248208,127.0794295,부타센세,영통동 1025-8
일식,37.248811,127.0766282,호식당,영통동 1016-4
일식,37.25189,127.0752335,이루카,영통동 1009-1
일식,37.2516576,127.0723896,호랑이초밥,영통동 994-2
일식,37.2408506,127.0735766,뚱보아저씨,서천동 720-5
일식,37.2523127,127.0780063,초밥쟁이,영통동 1034-2
일식,37.251627,127.0770495,우재초밥,영통동 1012-1
기타,37.2483826,127.0788856,투고샐러드,영통동 1021-4
기타,37.2514617,127.0793621,포케올데이,영통동 1030-6
기타,37.2504996,127.0760452,교촌치킨,영통동 1005-1
기타,37.2519012,127.0758635,노랑통닭,영통동 1010-11
기타,37.2487948,127.0765056,BHC치킨,영통동 1016-3
기타,37.2527536,127.0734351,청년다방,영통동 995-5
기타,37.2527536,127.0734351,낭사이공,영통동 995-5
기타,37.2488561,127.076146,보용만두,영통동 1016-1
기타,37.2514259,127.0759177,꿀꿀이네곱창볶음,영통동 1009-2
기타,37.2514259,127.0759177,미소곱창,영통동 1009-2